horizon,variant,candidate,selection_fold,candidate_selection_policy,candidate_selection_fold_count,stability_median_balanced_accuracy,stability_median_macro_f1,stability_balanced_accuracy_std,stability_median_roc_auc,n_samples,accuracy,balanced_accuracy,macro_f1,precision_down,precision_up,recall_down,recall_up,mcc,roc_auc,brier_score,log_loss,expected_calibration_error,threshold,confusion_matrix
5,dfa_hurst_with_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.5114544549886393,0.4721235266560829,0.023555491859705853,0.5283598748917437,578,0.5069204152249135,0.4914730078664505,0.4558966821357203,0.453125,0.5222222222222223,0.21245421245421245,0.7704918032786885,-0.020504343060983705,0.46326787966132227,0.29657595809177845,0.8051406071607257,0.1941274047680923,0.355,"[[58, 215], [70, 235]]"
5,dfa_hurst_no_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.5108283630856509,0.4920379112925283,0.03127277896696523,0.5389299900696392,578,0.47750865051903113,0.4953101543265478,0.4280303030303031,0.4694736842105263,0.5145631067961165,0.8168498168498168,0.1737704918032787,-0.0122364199529037,0.46267939710562656,0.2715770665920995,0.7394587827502755,0.14140282042988014,0.645,"[[223, 50], [252, 53]]"
5,dfa_hurst_no_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5163315222023102,0.49722183165783207,0.029437585763871038,0.5478207951011504,578,0.5155709342560554,0.49332852939410315,0.40626605033384694,0.43859649122807015,0.5239923224568138,0.09157509157509157,0.8950819672131147,-0.02234223040938511,0.4584879601273044,0.27505518005461177,0.747507691918632,0.15019804685582103,0.36,"[[25, 248], [32, 273]]"
5,dfa_hurst_no_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.5146294228982026,0.47487424869803657,0.02206104787296984,0.5326748828785469,578,0.49480968858131485,0.5170840088872876,0.4128059896739358,0.4817658349328215,0.6140350877192983,0.9194139194139194,0.11475409836065574,0.057213002263456915,0.49234372185191855,0.256566783465181,0.7065920491824212,0.09394989062384024,0.5900000000000001,"[[251, 22], [270, 35]]"
5,dfa_hurst_no_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5193605599502992,0.45247365113663923,0.013942666940857672,0.5590943697453006,578,0.5294117647058824,0.5419924337957125,0.5103647598166234,0.5011933174224343,0.6037735849056604,0.7692307692307693,0.31475409836065577,0.0938915938383574,0.5394703656998738,0.25131827081172875,0.6958339499275119,0.05471096872943091,0.5,"[[210, 63], [209, 96]]"
5,dfa_hurst_no_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.5114544549886393,0.4721235266560829,0.023555491859705853,0.5283598748917437,578,0.5069204152249135,0.4914730078664505,0.4558966821357203,0.453125,0.5222222222222223,0.21245421245421245,0.7704918032786885,-0.020504343060983705,0.46326787966132227,0.29657595809177845,0.8051406071607257,0.1941274047680923,0.355,"[[58, 215], [70, 235]]"
5,no_hurst_with_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.5147359707620626,0.5059525666956167,0.01968553491839214,0.533961387671769,578,0.48961937716262977,0.5085149822854741,0.434128825214139,0.4773662551440329,0.5543478260869565,0.8498168498168498,0.16721311475409836,0.02323982959842698,0.4686843211433375,0.2695984828209609,0.7347910244521906,0.13449198418797176,0.645,"[[232, 41], [254, 51]]"
5,no_hurst_with_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5229720147337427,0.5094211407165128,0.015678070214467897,0.5484471358406164,578,0.4809688581314879,0.49935747312796497,0.4279266795993507,0.47193347193347196,0.5257731958762887,0.8315018315018315,0.16721311475409836,-0.0017166989012240086,0.4650333273284093,0.27274685609336635,0.7419420915957065,0.1427396720971668,0.65,"[[227, 46], [254, 51]]"
5,no_hurst_with_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.5191538336726134,0.4804320000661986,0.02270461898243369,0.5422699745961741,578,0.4913494809688581,0.5130366900858704,0.4139952549106158,0.4796116504854369,0.5873015873015873,0.9047619047619048,0.12131147540983607,0.04176905897124301,0.4790368101843512,0.2584511208506954,0.7103833969668983,0.08386759514546548,0.595,"[[247, 26], [268, 37]]"
5,no_hurst_with_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5315818977458127,0.47617865937900783,0.01213012955783807,0.5667047476097804,578,0.513840830449827,0.5318501170960187,0.46720771019836443,0.49159663865546216,0.6176470588235294,0.8571428571428571,0.20655737704918034,0.08341971657477541,0.5050861706599412,0.25339069847160556,0.6999931268357029,0.05904826927204602,0.52,"[[234, 39], [242, 63]]"
