horizon,variant,fold_id,candidate,n_validation,balanced_accuracy,macro_f1,roc_auc,train_start_row,train_end_row,validation_start_row,validation_end_row,n_train_raw,n_train,purged_count,embargoed_count
1,legacy_hurst_no_meta,wf_02,hist_gradient_boosting,580,0.5424228323251125,0.5370006314710893,0.5548674994929067,40,899,901,1480,861,860,1,0
1,legacy_hurst_no_meta,wf_03,logistic_c02,580,0.4820864381520119,0.4581822178261347,0.4796542473919523,40,1479,1481,2060,1441,1440,1,0
1,legacy_hurst_no_meta,wf_03,logistic_c10,580,0.47847988077496273,0.4621697460665537,0.47778241430700447,40,1479,1481,2060,1441,1440,1,0
1,legacy_hurst_no_meta,wf_03,random_forest,580,0.48283159463487335,0.3922486261746165,0.5091743666169896,40,1479,1481,2060,1441,1440,1,0
1,legacy_hurst_no_meta,wf_03,extra_trees,580,0.4913859910581222,0.4028183421042006,0.49929061102831596,40,1479,1481,2060,1441,1440,1,0
1,legacy_hurst_no_meta,wf_03,hist_gradient_boosting,580,0.482354694485842,0.42626650660264104,0.5118807749627422,40,1479,1481,2060,1441,1440,1,0
1,legacy_hurst_no_meta,wf_04,logistic_c02,580,0.4987980769230769,0.4971862329483333,0.5083052884615384,40,2059,2061,2640,2021,2020,1,0
1,legacy_hurst_no_meta,wf_04,logistic_c10,580,0.5019230769230769,0.5004753262466511,0.5064663461538462,40,2059,2061,2640,2021,2020,1,0
1,legacy_hurst_no_meta,wf_04,random_forest,580,0.4868990384615385,0.46813866513233604,0.4999158653846154,40,2059,2061,2640,2021,2020,1,0
1,legacy_hurst_no_meta,wf_04,extra_trees,580,0.5260817307692307,0.48484056857472146,0.5349278846153847,40,2059,2061,2640,2021,2020,1,0
1,legacy_hurst_no_meta,wf_04,hist_gradient_boosting,580,0.5079326923076923,0.504841228526809,0.5232932692307692,40,2059,2061,2640,2021,2020,1,0
1,legacy_hurst_no_meta,wf_05,logistic_c02,579,0.4849319817342865,0.4805622009569378,0.5015062041265211,40,2639,2641,3219,2601,2600,1,0
1,legacy_hurst_no_meta,wf_05,logistic_c10,579,0.4918533483156813,0.48748803827751197,0.49936643794678076,40,2639,2641,3219,2601,2600,1,0
1,legacy_hurst_no_meta,wf_05,random_forest,579,0.5261254691945394,0.505090301925522,0.533028904774428,40,2639,2641,3219,2601,2600,1,0
1,legacy_hurst_no_meta,wf_05,extra_trees,579,0.5111650369378631,0.4103685218461196,0.5321323546991178,40,2639,2641,3219,2601,2600,1,0
1,legacy_hurst_no_meta,wf_05,hist_gradient_boosting,579,0.504662060391613,0.5042231418026892,0.5168312334138236,40,2639,2641,3219,2601,2600,1,0
5,dfa_hurst_with_meta,wf_01,logistic_c02,579,0.4908470369221223,0.3962202159876579,0.5440344638296857,40,319,325,903,285,280,5,0
5,dfa_hurst_with_meta,wf_01,logistic_c10,579,0.49975536408983506,0.4188881545127414,0.545633547340032,40,319,325,903,285,280,5,0
5,dfa_hurst_with_meta,wf_01,random_forest,579,0.5033354017995656,0.4281927335100577,0.5252392658536003,40,319,325,903,285,280,5,0
5,dfa_hurst_with_meta,wf_01,extra_trees,579,0.5291832740638202,0.4558270676691729,0.5620062531325329,40,319,325,903,285,280,5,0
