<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.06.29	1501.60	1512.73	1500.04	1511.62	67644	0	50
2011.06.30	1511.25	1513.97	1498.48	1500.00	69531	0	50
2011.07.01	1500.75	1502.47	1478.05	1487.25	71512	0	50
2011.07.05	1494.85	1516.31	1492.85	1515.51	61618	0	50
2011.07.06	1514.67	1533.57	1509.98	1528.48	69438	0	0
2011.07.07	1528.63	1534.32	1522.85	1531.34	71537	0	0
2011.07.08	1531.85	1545.20	1524.64	1543.75	65289	0	0
2011.07.11	1542.46	1556.66	1541.65	1553.43	67288	0	0
2011.07.12	1552.50	1573.18	1540.43	1567.89	81740	0	0
2011.07.13	1565.89	1587.61	1564.11	1581.35	77887	0	0
2011.07.14	1583.83	1594.07	1578.80	1587.09	76915	0	0
2011.07.15	1586.65	1593.41	1575.63	1592.79	70732	0	0
2011.07.18	1593.55	1607.03	1495.75	1604.86	22017	0	25
2011.07.19	1604.93	1609.75	1582.33	1588.03	64950	0	30
2011.07.20	1588.64	1601.39	1580.88	1600.83	72007	0	50
2011.07.21	1600.48	1604.28	1584.73	1590.49	78670	0	50
2011.07.22	1588.46	1606.73	1583.23	1600.85	65830	0	50
2011.07.25	1608.45	1623.68	1603.09	1613.93	73255	0	50
2011.07.26	1613.95	1620.02	1607.79	1619.03	69023	0	50
2011.07.27	1618.18	1628.32	1608.71	1612.98	67132	0	50
2011.07.28	1614.51	1619.91	1603.00	1616.23	69601	0	50
2011.07.29	1616.27	1632.35	1610.42	1626.27	70502	0	50
2011.08.01	1610.20	1631.65	1607.88	1619.78	76259	0	50
2011.08.02	1619.02	1658.74	1616.20	1658.29	76314	0	50
2011.08.03	1660.73	1672.35	1651.73	1660.87	49384	0	50
2011.08.04	1663.05	1681.80	1641.37	1646.86	29184	0	0
2011.08.05	1647.84	1669.69	1641.70	1665.12	60872	0	50
2011.08.08	1684.10	1720.03	1682.30	1717.90	58940	0	50
2011.08.09	1715.08	1777.10	1714.72	1738.40	48973	0	50
2011.08.10	1742.38	1796.69	1737.10	1792.09	67366	0	60
2011.08.11	1797.68	1813.77	1732.56	1763.58	89772	0	66
2011.08.12	1761.94	1767.51	1723.37	1742.98	63173	0	65
